ID,Description,Entry_ID,Media_IDs
SN000100,at the (uppermost) end,LX000095,
SN000101,upwards (direction),LX000096,
SN000102,up/over there,LX000097,
SN000103,that up (upstream) /over there (agr: dist nom masc sg),LX000098,
SN000104,"that one (he, it) up/over there",LX000099,
SN000105,dragon,LX000100,
SN000106,"from upstream, from uphill",LX000101,
SN000107,upwards; uphill,LX000102,
SN000108,one another,LX000103,
SN000109,eleventh,LX000104,
SN000110,one-horned,LX000105,
SN000111,to gather; meet (on purpose),LX000106,
SN000112,"to come together, gather",LX000107,
SN000113,to join or bring together; gather (people); mix up,LX000108,
SN000114,eleven,LX000109,
SN000115,often,LX000110,
SN000116,"God Almighty (the Exalted One), the Almighty",LX000111,
SN000117,area,LX000112,
SN000118,on whom be peace,LX000113,
SN000119,praise God!,LX000114,
SN000120,plum,LX000115,
SN000121,Oblique plural suffix (with a-declension nouns),-am_1,
SN000122,Instrumental suffix (with a-declension nouns),-am_2,
SN000123,action,LX000116,
SN000124,to obey; give heed; follow,LX000117,
SN000125,unsalted (fem),LX000118,
SN000126,unsalted,LX000119,
SN000127,America,LX000120,
SN000128,lion (or any big cat animal),LX000121,
SN000129,to send sth,LX000122,
SN000130,Third person plural suffix,-an,
SN000131,"of that/this kind, in this/that way; such, thus, that",LX000123,
SN000132,like this/that; thus; in this manner (intr),LX000124,
SN000133,like this/that; thus; in this manner (tr),LX000125,
SN000134,from here (prox); of this,LX000126,
SN000135,notice,LX000127,
SN000136,this (agr: prox fem / prox non-nom masc),LX000128,
SN000137,these (agr: prox),LX000129,
SN000138,this one; it; she (prox fem nom),LX000130,
SN000139,these ones; they (prox nom),LX000131,
SN000140,"this person, this thing (prox obl); it, he, she (prox obl); here (prox obl with postposition)",LX000132,
SN000141,these; them (prox acc),LX000133,
SN000142,their (prox),LX000134,
SN000143,these; they (prox obl),LX000135,
SN000144,"this person, this thing; it, him, her (prox acc)",LX000136,
SN000145,"its, his, her (prox)",LX000137,
SN000146,"child (of one's own), offspring",LX000138,
SN000147,this (agr: prox nom masc),LX000139,
SN000148,it; he; this one (prox masc nom),LX000140,
SN000149,to feel or become conscious; wake up; come to know or remember,LX000141,
SN000150,coal,LX000142,
SN000151,fire,LX000143,
SN000152,"Englishman, British; foreigner",LX000144,
SN000153,finger; toe,LX000145,
SN000154,thumb; big toe,LX000146,
SN000155,ring,LX000147,
SN000156,fireplace,LX000148,
SN000157,chimney,LX000149,
SN000158,nineteen,LX000150,
SN000159,nineteenth,LX000151,
SN000160,operation (surgical),LX000152,
SN000161,wise,LX000153,
SN000162,wisdom,LX000154,
SN000163,Arabia,LX000155,
SN000164,Second person singular suffix,LX000156,
SN000165,these; them (dist acc),LX000157,
SN000166,it; him; her; that (dist acc),LX000158,
SN000167,its; her; his (dist),LX000159,
SN000168,that (agr: dist fem / dist masc non-nom),LX000160,
SN000169,those (agr: dist),LX000161,
SN000170,"it, she (dist fem nom)",LX000162,
SN000171,they (dist nom),LX000163,
SN000172,"that thing (dist obl); it, she, he (dist obl); there (dist obl with postposition)",LX000164,
SN000173,that (agr: dist masc nom),LX000165,
SN000174,"it, that one; he (dist masc nom)",LX000166,
SN000175,us (1pl acc),LX000167,
SN000176,affliction; effect,LX000168,
SN000177,to be afflicted,LX000169,
SN000178,"to affect, harm; influence",LX000170,
SN000179,"to influence, affect",LX000171,
SN000180,our (1pl gen),LX000172,
SN000181,we (1pl obl),LX000173,
SN000182,easy,LX000174,
SN000183,easily,LX000175,
SN000184,"actual, original, real; in fact, actually",LX000176,
SN000185,in love,LX000177,
SN000186,to fall in love,LX000178,
SN000187,eighteenth,LX000179,
SN000188,all eight; the eight,LX000180,
SN000189,eighteen,LX000181,
SN000190,eighth,LX000182,
SN000191,Second person plural suffix,-at,
SN000192,like that; that much,LX000183,
SN000193,Ashret (valley and village),LX000184,
SN000194,"Ashret proper; the main village in Ashret Valley where the police post, government high school, and the bazaar are located",LX000185,
SN000195,Ashreti (the language of Ashret),LX000186,
SN000196,"from Ashret, of Ashret; person from Ashret",LX000187,
SN000197,to bring sth or sb; give birth,LX000188,
SN000198,ablution; urge,LX000189,
SN000199,to urinate,LX000190,
SN000200,to feel an urge (to urinate),LX000191,
SN000201,"offspring, descendants",LX000192,
SN000202,Causative (or second/double causative) suffix,LX000193,
SN000203,"up high, at a high elevation",LX000194,
SN000204,relative,LX000195,
SN000205,dirty,LX000196,
SN000206,a traditional game played between two teams that involves holding up one's right leg with one's left hand while fighting with one's right hand,LX000197,
SN000207,to play the game of axsí,LX000198,
SN000208,Eid (Muslim holiday),LX000199,
SN000209,punishment (especially divine),LX000200,
SN000210,to punish,LX000201,
SN000211,if; supposing,LX000202,
SN000212,"Marker with a (switch-)topic function (variously corresponding to 'and, however, instead, as for, but')",ba,
SN000213,father,LX000203,
SN000214,king,LX000204,
SN000215,rule; kingdom,LX000205,
SN000216,to rule,LX000206,
SN000217,after,LX000207,
SN000218,to grow (up),LX000208,
SN000219,garden,LX000209,
SN000220,harmonium (musical instrument),LX000210,
SN000221,"cushion, pillow",LX000211,
SN000222,children; family,LX000212,
SN000223,bucket,LX000213,
SN000224,by (means of); according to; with; to; on,LX000214,
SN000225,regular,LX000215,
SN000226,additional; remaining,LX000216,
SN000227,about,LX000217,
SN000228,to spend the night; stay over night,LX000218,
SN000229,late spring or early summer; a (40-day) period during which some trees bear fruit (e.g. apricots) and the wheat harvest is gathered (appr. 11 May-20 Jun),LX000219,
SN000230,"to give shelter, accomodate, have sb stay (overnight)",LX000220,
SN000231,bedding,LX000221,
SN000232,twelfth,LX000222,
SN000233,rain,LX000223,
SN000234,"word; talk; issue, matter; speech, language",LX000224,
SN000235,"to say, talk about, tell",LX000225,
SN000236,wooden water lock (for irrigation),LX000226,
SN000237,"stone, rock",LX000227,
SN000238,to fit; get in,LX000228,
SN000239,shoulder,LX000229,
SN000240,some; a few,LX000230,
SN000241,"bazaar, market",LX000231,
SN000242,steam,LX000232,
SN000243,made of oak,LX000233,
SN000244,apple,LX000234,
SN000245,hand fan,LX000235,
SN000246,safe,LX000236,
SN000247,to escape,LX000237,
SN000248,to save; keep away,LX000238,
SN000249,young female calf,LX000239,
SN000250,young male calf,LX000240,
SN000251,body,LX000241,
SN000252,to butt (horns),LX000242,
SN000253,rascal; criminal,LX000243,
SN000254,sledge-hammer,LX000244,
SN000255,Badilo; descendant of Badil; member of the Badile clan (in Ashret),LX000245,
SN000256,Badrugal (Nuristani village between Ashret and Kalkatak),LX000246,
SN000257,hour,LX000247,
SN000258,Co-lexicalized intensifier,bak,
SN000259,flock of sheep and goats,LX000248,
SN000260,shepherd; goatherd,LX000249,
SN000261,shepherding; goat herding,LX000250,
SN000262,light bulb,LX000251,
SN000263,"Balasgiri (pastureland in Kotgha, Ashret Valley)",LX000252,
SN000264,"outside; outer end (of roof, etc.)",LX000253,
SN000265,roof end (covering),LX000254,
SN000266,but; instead,LX000255,
SN000267,Baltechi (peak near Pemdi in Ashret Valley),LX000256,
SN000268,"pipe, tap",LX000257,
SN000269,"closed; blocked, stopped",ban,
SN000270,"to close, stop, block or ban sth",LX000258,
SN000271,"arrangement (for marriage, etc.)",LX000259,
SN000272,to arrange,LX000260,
SN000273,sweater,LX000261,
SN000274,bracelet,LX000262,
SN000275,equal; healthy; just right,LX000263,
SN000276,endurance; patience,LX000264,
SN000277,to bear; endure,LX000265,
SN000278,Britain,LX000266,
SN000279,British,LX000267,
SN000280,Baroko; descendant of Barok; member of the Baroke clan (in Ashret),LX000268,
SN000281,enough; in short; okay,bas,
SN000282,spring; can also refer more specifically to the first part of spring (a 40-day period) when days are warmer and plants begin to grow and flowers blossom (appr. 1 Apr-10 May),LX000269,
SN000283,first month of spring (according to one trad. calendar),LX000270,
SN000284,calf that can plough but is not yet full-grown (2-4 years old),LX000271,
SN000285,Batadee (peak in upper Pherima in Ashret Valley),LX000272,
SN000286,top of a flat stone,LX000273,
SN000287,sling-shot,LX000274,
SN000288,"Batsum (cluster of houses in Kanegha, Ashret Valley)",LX000275,
SN000289,a kind of grass,LX000276,
SN000290,"to forgive; give (freely), donate, leave",LX000277,
SN000291,alms; reward,LX000278,
SN000292,to reward,LX000279,
SN000293,to tell; describe,LX000280,
SN000294,Bazgal (part of Patodham in Ashret Valley),LX000281,
SN000295,we (1pl nom),be,
SN000296,"worried, fearful; impatient",LX000282,
SN000297,to clear up (about sky),LX000283,
SN000298,disagreement,LX000284,
SN000299,heifer,LX000285,
SN000300,spade,LX000286,
SN000301,"almost, nearly",LX000287,
SN000302,will go (1sg),LX000288,
SN000303,bank (establishment),LX000289,
SN000304,summer,LX000290,
SN000305,knot,LX000291,
SN000306,"to wind up, pull",LX000292,
SN000307,tomato,LX000293,
SN000308,ugly,LX000294,
SN000309,lamb,LX000295,
SN000310,"unfaithful, disloyal",LX000296,
SN000311,"disloyalty, unfaithfulness",LX000297,
SN000312,in excess; unnecessarily,LX000298,
SN000313,"better; superior, preferred",LX000299,
SN000314,ball,LX000300,
SN000315,cattle shed; pasture hut,LX000301,
SN000316,"cock, rooster",LX000302,
SN000317,load; burden,LX000303,
SN000318,"to make noise, disturb; quarrel (verbally)",LX000304,
SN000319,"cry, scream",LX000305,
SN000320,Participial marker,LX000306,
SN000321,shoulder blade,LX000307,
SN000322,"to divide, split",LX000308,
SN000323,fatness,LX000309,
SN000324,to fatten,LX000310,
SN000325,"fat, thick; strong",LX000311,
SN000326,"demon, evil spirit",LX000312,
SN000327,to make (sb) beat (sb else),LX000313,
SN000328,"to beat sb, play (musical instrument)",LX000314,
SN000329,rat; large rodent,LX000315,
SN000330,Bharadam (hamlet in upper Ashret Valley),LX000316,
SN000331,husband,LX000317,
SN000332,to roast,LX000318,
SN000333,"to sow, cultivate",LX000319,
SN000334,"sowed, cultivated (masc sg)",LX000320,
SN000335,(wooden) beam,LX000321,
SN000336,to swin,LX000322,
SN000337,sister,LX000323,
SN000338,niece; sister's daughter,LX000324,
SN000339,nephew; sister's son,LX000325,
SN000340,narrow (and dangerous) mountain track,LX000326,
SN000341,"donkey seller (group of people, usually Pashtun, who in the past came with their donkeys from the Dir side)",LX000327,
SN000342,disgrace,LX000328,
SN000343,to disgrace sb,LX000329,
SN000344,"to sit down, settle, stay",LX000330,
SN000345,to seat sb; make sb sit down; put,LX000331,
SN000346,bundle; bouquet,LX000332,
SN000347,sat down (masc sg),LX000333,
SN000348,last night's,LX000334,
SN000349,"to come into existence, arise; become",LX000335,
SN000350,"to fear, be afraid of",LX000336,
SN000351,"due to fear, fearfully",LX000337,
SN000352,fear,LX000338,
SN000353,"to be frightened, be scared",LX000339,
SN000354,to be overcome by fear,LX000340,
SN000355,male,LX000341,
SN000356,he-goat,LX000342,
SN000357,twenty; the twenty sth or people,LX000343,
SN000358,feared (masc sg),LX000344,
SN000359,last night,LX000345,
SN000360,willow,LX000346,
SN000361,Biori Valley,LX000347,
SN000362,Bhiorkot (place in Sharadesh in Ashret Valley),LX000348,
SN000363,"from Biori, of Biori; person from Biori",LX000349,
SN000364,twenty-one,LX000350,
SN000365,twenty-eight,LX000351,
SN000366,thirty-one (twenty and eleven),LX000352,
SN000367,thirty-nine (twenty and nineteen),LX000353,
SN000368,thirty-eight (twenty and eighteen),LX000354,
SN000369,thirty-two (twenty and twelve),LX000355,
SN000370,thirty-four (twenty and fourteen),LX000356,
SN000371,twenty-four,LX000357,
SN000372,thirty (twenty and ten),LX000358,
SN000373,twenty-two,LX000359,
SN000374,twenty-nine,LX000360,
SN000375,twenty-five,LX000361,
SN000376,thirty-five (twenty and fifteen),LX000362,
SN000377,twenty-seven,LX000363,
SN000378,thirty-seven (twenty and seventeen),LX000364,
SN000379,twenty-six,LX000365,
SN000380,thirty-six (twenty and sixteen),LX000366,
SN000381,thirty-three (twenty and thirteen),LX000367,
SN000382,twenty-three,LX000368,
SN000383,twentieth,LX000369,
SN000384,plank,bhit,
SN000385,"Biori (valley and the largest village in the valley with the same name, i.e. Upper Biori or Biori proper)",LX000370,
SN000386,"to be able to, know how to, can",LX000371,
SN000387,to become deaf,LX000372,
SN000388,"to bark, bleat; talk (negatively)",LX000373,
SN000389,ploughing,LX000374,
SN000390,to plough,LX000375,
SN000391,daughter-in-law; son's wife,LX000376,
SN000392,sister-in-law; brother's wife,LX000377,
SN000393,lawn,LX000378,
SN000394,nephew; brother's son,LX000379,
SN000395,slowly,LX000380,
SN000396,brothers (irr plural),LX000381,
SN000397,niece; brother's daughter,LX000382,
SN000398,brotherhood,LX000383,
SN000399,Bhringechino (part of Sharadesh in Ashret Valley),LX000384,
SN000400,boundary,bhrit,
SN000401,"brother; cousin, member of one's own tribe",LX000385,
SN000402,kidney,bhruk,
SN000403,soil or grass barrier,LX000386,
SN000404,"down, down below",bhun,
SN000405,at the (lowermost) end,LX000387,
SN000406,"downward, downhill; towards low-lying areas",LX000388,
SN000407,"down (to), down (there)",LX000389,
SN000408,down there,LX000390,
SN000409,that down there (agr: dist nom masc sg),LX000391,
SN000410,"that one (he, it) down there",LX000392,
SN000411,from below,LX000393,
SN000412,(on the way) downhill,LX000394,
SN000413,miller's share,LX000395,
SN000414,straw,bhus,
SN000415,to wake (sb) up,LX000396,
SN000416,deaf,LX000397,
SN000417,"also, too; else, at all; even",bi,
SN000418,not even,bi_na,
SN000419,neither ... nor,LX000398,
SN000420,as well as; both,LX000399,
SN000421,wilderness,LX000400,
SN000422,supplies (new),LX000401,
SN000423,"ill, sick; the sick (person)",LX000402,
SN000424,"ill, sick (fem)",LX000403,
SN000425,seed,LX000404,
SN000426,"to go, leave, move",LX000405,
SN000427,many; much; very; really,LX000406,
SN000428,"several, numerous (fem)",LX000407,
SN000429,lightning,LX000408,
SN000430,electricity; light,LX000409,
SN000431,several; numerous,LX000410,
SN000432,to melt,LX000411,
SN000433,to melt (sth),LX000412,
SN000434,disease,LX000413,
SN000435,Bimot (place in Patodham in Ashret Valley),LX000414,
SN000436,"wide, broad; loose",LX000415,
SN000437,of width; of breadth,LX000416,
SN000438,poison,LX000417,
SN000439,to rest,LX000418,
SN000440,serfdom,LX000419,
SN000441,to spread (out),LX000420,
SN000442,"burqa, hijab",LX000421,
SN000443,sack,LX000422,
SN000444,(straw of) hair,LX000423,
SN000445,bored,LX000424,
SN000446,to bore sb,LX000425,
SN000447,twelve,LX000426,
SN000448,bottle,LX000427,
SN000449,joint,LX000428,
SN000450,twich of pain (in the ribs),LX000429,
SN000451,to feel pain (in the ribs),LX000430,
SN000452,to have pain (in the ribs),LX000431,
SN000453,Brujeli (peak in Kodgha in Ashret Valley),LX000432,
SN000454,hunger,LX000433,
SN000455,"to become hungry, feel hunger",LX000434,
SN000456,hungry (fem),LX000435,
SN000457,hungry,LX000436,
SN000458,to card (wool),LX000437,
SN000459,understood (masc sg),LX000438,
SN000460,to sting; prick; poke,LX000439,
SN000461,to set (about sun),LX000440,
SN000462,trousers (upper part),LX000441,
SN000463,to sting sb,LX000442,
SN000464,"to understand, realize",LX000443,
SN000465,to make sb understand,LX000444,
SN000466,dull,LX000445,
SN000467,"to look for sb, call sb",LX000446,
SN000468,to snatch; fight over,LX000447,
SN000469,"to inject, insert",LX000448,
SN000470,"large, wooden stick",LX000449,
SN000471,boot; heavy shoe,LX000450,
SN000472,all,LX000451,
SN000473,all (of a referred to group),LX000452,
SN000474,all (obl),LX000453,
SN000475,small plant,LX000454,
SN000476,to braid,LX000455,
SN000477,"to grow old, age",LX000456,
SN000478,to cause grievance (lit. make sb grow old),LX000457,
SN000479,spider,LX000458,
SN000480,old,LX000459,
SN000481,kiss,LX000460,
SN000482,Buzegha (hamlet in upper Ashret Valley with a Pashtun majority),LX000461,
SN000483,pious man,LX000462,
SN000484,knife,LX000463,
SN000485,"leather, skin (from cow or bull)",LX000464,
SN000486,curl of hair,LX000465,
SN000487,surrounding,LX000466,
SN000488,fresh grass (esp. as fodder),LX000467,
SN000489,to graze,LX000468,
SN000490,to take (cattle) for grazing,LX000469,
SN000491,animal (esp. fourlegged),LX000470,
SN000492,Wednesday,LX000471,
SN000493,"nosepin, stud",LX000472,
SN000494,dumb (unable to speak),LX000473,
SN000495,"fat, strong, healthy",LX000474,
SN000496,big basket,LX000475,
SN000497,china (porcelain); utensils from China,LX000476,
SN000498,"Chakadham (settlement in Dhamaret, Biori Valley)",LX000477,
SN000499,heap of maize,LX000478,
SN000500,"to chop, cut (with an axe)",LX000479,
SN000501,"manner, way, plan; skill, trick",LX000480,
SN000502,"to run, turn, get going, function",LX000481,
SN000503,"to drive (a vehicle, etc.)",LX000482,
SN000504,bird (esp. sparrow),LX000483,
SN000505,garden,LX000484,
SN000506,"crest, cockscomb",LX000485,
SN000507,some; a bit,LX000486,
SN000508,"donation, collection (of money)",LX000487,
SN000509,fourteenth,LX000488,
SN000510,fourteen,LX000489,
SN000511,instrument played on rubber bands,LX000490,
SN000512,Co-lexicalized intensifier,LX000491,
SN000513,to gnaw on sth,LX000492,
SN000514,dawn,LX000493,
SN000515,Co-lexicalized intensifier,LX000494,
SN000516,door frame,LX000495,
SN000517,small beam,LX000496,
SN000518,tea,LX000497,
SN000519,"wide, thick, big (fem)",LX000498,
SN000520,"of steel, iron",LX000499,
SN000521,"of steel, iron (fem)",LX000500,
SN000522,spouted jug,LX000501,
SN000523,to vomit,LX000502,
SN000524,kid (young goat),LX000503,
SN000525,regulating device in water mill,LX000504,
SN000526,"shot, blow",LX000505,
SN000527,to sift or clean maize or rice,LX000506,
SN000528,shade; shadow,LX000507,
SN000529,she-goat,LX000508,
SN000530,ashes,LX000509,
SN000531,"to stop, cut off",LX000510,
SN000532,"to cut, cut off; reduce; make (part. milk products)",LX000511,
SN000533,"Chini (place in Kanegha, Ashret)",LX000512,
SN000534,"to fall, strike, be felled, be cut off, break apart",LX000513,
SN000535,"to put (down), put in place; name",LX000514,
SN000536,traditional salty cheese,LX000515,
SN000537,food; stew; meal,LX000516,
SN000538,"to mount or ride a horse, etc.",LX000517,
SN000539,"to call out to somebody, invite",LX000518,
SN000540,put (down) (masc sg),LX000519,
SN000541,wet mud; clay,LX000520,
SN000542,breast (woman's),LX000521,
SN000543,"cry, scream",LX000522,
SN000544,"to cry, scream",LX000523,
SN000545,to be delayed,LX000524,
SN000546,was delayed (masc sg),LX000525,
SN000547,thing,LX000526,
SN000548,"Chilas (town in Indus Valley, the place of origin of the forefather of most Ashretis)",LX000527,
SN000549,iron (material),LX000528,
SN000550,"of steel, iron",LX000529,
SN000551,"to shine, glitter",LX000530,
SN000552,Chinarom (a place in lower Ashret Valley),LX000531,
SN000553,head-stone on grave,LX000532,
SN000554,sugar,LX000533,
SN000555,"to think; consider, regard",LX000534,
SN000556,now! go ahead! let's!,LX000535,
SN000557,large teapot,LX000536,
SN000558,"applause, clapping (of hands)",LX000537,
SN000559,"to applaude, clap hands",LX000538,
SN000560,"language, speech; style",LX000539,
SN000561,to adopt a style or a way of acting,LX000540,
SN000562,"wide, thick, big (about inanimates)",LX000541,
SN000563,"to hoist, raise up",LX000542,
SN000564,traditional cheese made from lassi by heating it until partly solid,LX000543,
SN000565,"to write, embroider",LX000544,
SN000566,thief,LX000545,
SN000567,"to pick, collect",LX000546,
SN000568,fourth,LX000547,
SN000569,all four; the four,LX000548,
SN000570,fourth,LX000549,
SN000571,rectangle,LX000550,
SN000572,paw,LX000551,
SN000573,to bite,LX000552,
SN000574,sour,LX000553,
SN000575,"to tease, stir up (anger)",LX000554,
SN000576,"to rock, sway, shake, move",LX000555,
SN000577,"to shake, rock sth, wave",LX000556,
SN000578,Chumaneri (settlement in Ashret Valley),LX000557,
SN000579,"thin, small",LX000558,
SN000580,"to drip, run",LX000559,
SN000581,to cut up (meat),LX000560,
SN000582,bunch (of grapes),LX000561,
SN000583,"vacation, break (from school)",LX000562,
SN000584,"scarf, dopatta",LX000563,
SN000585,four,LX000564,
SN000586,glowing hot coal; ember,LX000565,
SN000587,eighty (lit. four twenties),LX000566,
SN000588,to suck,LX000567,
SN000589,torch,LX000568,
SN000590,load of oak branches,LX000569,
SN000591,waterfall,LX000570,
SN000592,Chitral (the district or the adminitrative centre of the district),LX000571,
SN000593,(small) stick made of oak branch,LX000572,
SN000594,dung (from humans and fowl); faeces,LX000573,
SN000595,"to defacate (for domestic fowl, etc.)",LX000574,
SN000596,timid,LX000575,
SN000597,milk,LX000576,
SN000598,udder (of cow),LX000577,
SN000599,"nipple (of breast, human or animal)",LX000578,
SN000600,field; (tilled) land,LX000579,
SN000601,darkness,LX000580,
SN000602,Choke (ancestor of the people of Ashret),LX000581,
SN000603,(silver) oak; common evergreen tree on the lower slopes in and around populated areas; its foliage is used for fodder and its wood for fuel,LX000582,
SN000604,threshing (of wheat),LX000583,
SN000605,to wash (clothes),LX000584,
SN000606,straight,LX000585,
SN000607,"razor, sharp knife",LX000586,
SN000608,"to twitter (esp. the sound made by birds), squawk",LX000587,
SN000609,was burned (masc sg),LX000588,
SN000610,circle,LX000589,
SN000611,to burn,LX000590,
SN000612,yard (outside house),LX000591,
SN000613,piece (of sth),LX000592,
SN000614,tooth,LX000593,
SN000615,"hill side, peak, ridge",LX000594,
SN000616,"handle, shaft",LX000595,
SN000617,door,LX000596,
SN000618,medicine,LX000597,
SN000619,capital,LX000598,
SN000620,ten,LX000599,
SN000621,two hundred (lit. ten twenties),LX000600,
SN000622,ten thousand,LX000601,
SN000623,claim,LX000602,
SN000624,"to make a claim; fight, quarrel",LX000603,
SN000625,invitation,LX000604,
SN000626,to invite,LX000605,
SN000627,"entered, entering",LX000606,
SN000628,to enter,LX000607,
SN000629,"pomp, highness",LX000608,
SN000630,"to look, see, watch; care for",LX000609,
SN000631,office,LX000610,
SN000632,to be given,LX000611,
SN000633,heap of wheat (on field or on house roof),LX000612,
SN000634,"rest, break",LX000613,
SN000635,"to rest, take a break",LX000614,
SN000636,appreciated,LX000615,
SN000637,small ridge,LX000616,
SN000638,"for, (in order) to",LX000617,
SN000639,trace,LX000618,
SN000640,"to be gone, not appear, not show up, disappear",LX000619,
SN000641,"rank, order",LX000620,
SN000642,door frame,LX000621,
SN000643,door frame (upper part),LX000622,
SN000644,window,LX000623,
SN000645,door,LX000624,
SN000646,custom,LX000625,
SN000647,all ten; the ten,LX000626,
SN000648,ten (agr: non-nom),LX000627,
SN000649,tenth,LX000628,
SN000650,wealth,LX000629,
SN000651,time period; phase,LX000630,
SN000652,"to ask for sth, ask (take) sb for marriage; want",LX000631,
SN000653,"time period, age; (olden) days",LX000632,
SN000654,Past tense marker,de,
SN000655,"for, in order to; by; because of",LX000633,
SN000656,to the right,LX000634,
SN000657,right,LX000635,
SN000658,grandmother; father's mother,LX000636,
SN000659,burnt (fem),LX000637,
SN000660,leg (below the knee),LX000638,
SN000661,room,LX000639,
SN000662,beard,LX000640,
SN000663,day; point in time,LX000641,
SN000664,"Dir (neighbouring district, a former princely state)",LX000642,
SN000665,giant,LX000643,
SN000666,pot,LX000644,
SN000667,"to become full, be satisfied (in eating)",LX000645,
SN000668,goat (generic),LX000646,
SN000669,"to remain, stay behind, fail",LX000647,
SN000670,fire place,LX000648,
SN000671,"became full, satisfied (masc sg)",LX000649,
SN000672,Dhamaret (village in Biori valley); Middle Biori,LX000650,
SN000673,goat meat,LX000651,
SN000674,ground; earth,LX000652,
SN000675,"outside, out",LX000653,
SN000676,remained (masc sg),LX000654,
SN000677,"to leave sth with sb, bequeath",LX000655,
SN000678,noon,LX000656,
SN000679,"debt, loan (in money)",LX000657,
SN000680,refuse dump,LX000658,
SN000681,pomegranate,LX000659,
SN000682,"became full, satisfied (fem sg)",LX000660,
SN000683,pieces of rock; collection of stones in one place,LX000661,
SN000684,daughter,LX000662,
SN000685,granddaughter; daughter's daughter,LX000663,
SN000686,grandson; daughter's son,LX000664,
SN000687,"to milk (a cow, a goat, etc.)",LX000665,
