ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,Comment,Corpus_Reference,Media_IDs,Sense_IDs
XV000016,phl,paalawaaṇaán be deeúli phedíla.,paalawaáṇ\t-aán\tbe\t-í\tdeeúli\tphed\t-íl\t-a,strong.man\t-PL\tgo\t-CV\tDir\tarrive\t-PFV\t-MPL,The strongmen left and arrived at Dir.,,,A:CHA003,,SN000007
XV000017,phl,baṭóom ǰe tíi katí katí íṇc̣a mheeríla de.,baṭ\t-óom\tǰe\t-í\ttíi\tkatí\tkatí\tiṇc̣\t-a\tmhaaré\t-íl\t-a\tde,stone\t-INS\thit\t-CV\t3SG.OBL\thow.many\thow.many\tbear\t-PL\tkill\t-PFV\t-PL\tPST,He killed numerous bears with a piece of rock.,,,A:PAS044,,SN000007 ; SN001026 ; SN001195 ; SN002326
XV000018,phl,míi ghooṣṭá lhoóka lhoóka maasumaán kuṇaaká hína.,míi\tghoóṣṭ\t-a\tlhoók\t-a\tlhoók\t-a\tmaasúm\t-aán\tkuṇaák\t-a\thin\t-a,1SG.GEN\thouse\t-OBL\tsmall\t-MPL\tsmall\t-MPL\tinnocent\t-PL\tchild\t-PL\tbe.PRS\t-MPL,"I have small, innocent children at home.",,,A:KIN017,,SN000008 ; SN001459
XV000019,phl,kháača kráama díi ba teeṇíi zaán bač theeṇḍeéu.,khač\t-a\tkram\t-a\tdíi\tba\tteeṇíi\tzaán\tbač\tthe\t-eeṇḍeéu,bad\t-OBL\twork\t-OBL\tfrom\tTOP\tREFL\tself\tsafe\tdo\t-OBLG,One should keep away from bad behaviour [lit. save oneself from bad work].,,,A:SMO023,,SN000008 ; SN000248 ; SN001217 ; SN001309 ; SN002293
XV000020,phl,se har deés akaadúi pašáa bhóon de.,se\thar\tdeés\takaadúi\tpaš\t-áa\tbha\t-en\tde,3PL.NOM\tevery\tday\tone.another\tsee\t-INF\tbe.able.to\t-3PL\tPST,They were able to meet every day.,,,A:SHY007,,SN000009
XV000021,phl,tanaám maǰí áak míiš muṭá ǰe ukháai bhóo de maní.,tanaám\tmaǰí\tak\tméeš\tmuṭ\t-a\tǰe\tukhéi\t-áa\tbha\t-e\tde\tmaní,3PL.ACC\tamong\tone\tman\ttree\t-OBL\tup\tcome.up\t-INF\tbe.able.to\t-3SG\tPST\tHSAY,One of the men knew how to climb a tree.,,,A:UNF007,,SN000009
XV000022,phl,níi maǰí míi ga na ga čand čand tuúš tuúš teeṇíi the góo aabaadí bi saméeli.,níi\tmaǰí\tmíi\tga\tna\tga\tčand\tčand\ttuúš\ttuúš\tteeṇíi\tthe\tgóo\taabaád\t-í\tbi\tsamá\t-íl\t-i,3SG.PROX.OBL\tin\t1SG.ERG\tany\tNEG\tsome\tfew\tfew\tlittle\tlittle\tREFL\tto\tmaybe\tdwelling\t-PL\tSEP\tmake\t-PFV\t-F,During it [this time] I have also constructed a few houses for myself.,,,A:HUS020,,SN000011 ; SN000507 ; SN001658
XV000023,phl,aaghaá áabru yhaí ba mútu.,aaghaá\táabru\tyhéi\t-í\tba\tmut\t-u,sky\tcloud\tcome\t-CV\tTOP\train.PFV\t-MSG,Clouds gathered and it started to rain.,,,A:DLX142,,SN000012 ; SN000990 ; SN001564
XV000024,phl,ṭhaaṭáaku yhaí šíiṭi ačíitu.,ṭhaaṭáku\tyhéi\t-í\tšíiṭi\tačíit\t-u,ogre\tcome\t-CV\tinside\tenter.PFV\t-MSG,The monster arrived and came inside.,,,A:THA006,,SN000013 ; SN002153
XV000025,phl,ak čoór tesée ghooṣṭá ačíitu.,ak\tčoór\ttesée\tghoóṣṭ\t-a\tačíit\t-u,IDEF\tthief\t3SG.GEN\thouse\t-OBL\tenter.PFV\t-MSG,A thief entered his house.,,,B:THI002,,SN000013 ; SN000566
XV000026,phl,be náawa ghooṣṭá ačíita.,be\tnaw\t-a\tghoóṣṭ\t-a\tačíit\t-a,1PL.NOM\tnew\t-OBL\thouse\t-OBL\tenter.PFV\t-MPL,We moved into a new house.,,,A:DHN2604,,SN000013 ; SN000295 ; SN001629
XV000027,phl,"aaweelíi se dúu mítra bháaṭa áak bhruk bhaagáana, bheegí ba áaḍu ta áak khaáanu áaḍu ba áak khaáanu.",aaweelíi\tse\tdu\tmitr\t-a\tbhe\t-áṭ\t-a\tak\tbhruk\tbhaagé\t-án\t-a\tbhaagé\t-í\tba\taḍ\t-u\tta\tak\tkha\t-án\t-u\taḍ\t-u\tba\tak\tkha\t-án\t-u,first\tREM\ttwo\tblood.brother\t-PL\tbecome\t-AG\t-MPL\tIDEF\tkidney\tdivide\t-PRS\t-MPL\tdivide\t-CV\tTOP\thalf\t-MSG\tDS\tone\teat\t-PRS\t-MSG\thalf\t-MSG\tTOP\tone\teat\t-PRS\t-MSG,"First, the two who are becoming blood-brothers split a kidney, and then one of them eats half of it and the other eats the other half.",,,A:MIT022-3,,SN000015 ; SN000402 ; SN000990
XV000028,phl,asíi áaḍa bhraaú ba saawá hína.,asíi\taḍ\t-a\tbhraaú\tba\tsaáu\t-a\thin\t-a,1PL.GEN\thalf\t-MPL\tbrother.PL\tTOP\t<place>\t-OBL\tbe.PRS\t-MPL,Half of [some of] our brothers are in Sau [a village in Afghanistan].,,,A:BHB023,,SN000015
XV000029,phl,áaḍa índa dharíita áaḍa ba naaṛéea the gíia.,aḍ\t-a\tínda\tdharíit\t-a\taḍ\t-a\tba\tnaaṛái\t-a\tthe\tgíia,half\t-MPL\there\tremain.PFV\t-MPL\thalf\t-MPL\tTOP\t<place>\t-OBL\tto\tgo.PFV.PL,"Half of them remained here, while the other half went to Naray.",,,A:ANC005e,,SN000015 ; SN001625
XV000030,phl,ghaḍeerá mána thíilu xu so áahoola toolíi eé de.,ghaḍeeró\t-a\tmána\tthe\t-íl\t-u\txu\tso\táahoola\ttoolé\t-e\teé\tde,older.one\t-OBL\tforbidding\tdo\t-PFV\t-MSG\tADVS\t3MSG.NOM\trepeatedly\tmeasure\t-3SG\tAMPL\tPST,"The older [brother] warned him, but he kept measuring.",,,A:DRA019,,SN000016 ; SN000826 ; SN001484 ; SN002630
XV000031,phl,"áaṛu heensílu heentá, eesó ḍhíngar aaindá dapáara naakaám bháanu.",áṛu\tháans\t-íl\t-u\theentá\teesó\tḍhíngar\taaindá\tdapáara\tnaakaám\tbhe\t-án\t-u,knot\texist\t-PFV\t-MSG\tCONDL\tREM.MSG.NOM\twood\tfuture\tfor\tuseless\tbecome\t-PRS\t-MSG,"If there were a knot in the wood, it would be useless in the future.",,,A:HOW032,,SN000017 ; SN000053 ; SN000803 ; SN000866 ; SN001619
XV000032,phl,dhoóṛ ta čaaršambá de aáǰ ba paačhambá.,dhoóṛ\tta\tčaaršambá\tde\taǰ\tba\tpaačhambá,yesterday\tDS\tWednesday\tPST\ttoday\tTOP\tThursday,Yesterday was Wednesday and today is Thursday.,,,A:DLX001,,SN000018 ; SN000492 ; SN000689 ; SN001733
XV000033,phl,aaǰíi baád rhootašíi bi híni.,aǰ\t-ii\tbaád\trhootašíi\tbi\thin\t-i,today\t-GEN\tafter\tmorning\tSEP\tbe.PRS\t-F,There is also a tomorrow after today. [Saying],,,A:NH12:2:002,,SN000020 ; SN000417 ; SN001989
XV000034,phl,ma aáǰkal c̣hatróola hínu.,ma\taáǰkal\tc̣hatráal\t-a\thin\t-u,1SG.NOM\tnowadays\t<place>\t-OBL\tbe.PRS\t-MSG,Nowadays I'm staying in Chitral.,,,A:DLX350,,SN000022
XV000035,phl,tas the maníi de ki sírif áak xudaáii ibaadát tha.,tas\tthe\tmané\t-e\tde\tki\tsírif\tak\txudaái\t-ii\tibaadát\tthe,3SG.ACC\tto\tsay\t-3SG\tPST\tCOMP\tonly\tone\tGod\t-GEN\tworship\tdo,He was telling him to worship only one God.,,,A:ABO013,,SN000024 ; SN000996 ; SN001274 ; SN002087
XV000036,phl,har áakii ṣiṣíi taáǰ.,har\tak\t-ii\tṣiṣ\t-ii\ttaáǰ,every\tone\t-GEN\thead\t-GEN\tcrown,The crown of everyone's head. [Idiomatic phrase],,,A:NH12:2:022,,SN000024
XV000037,phl,áa musibát ba eeṛó ki...,a\tmusibát\tba\teeṛó\tki,one\ttrouble\tTOP\t3MSG.DIST.NOM\tCOMP,One problem is the following...,,,A:MAR113,,SN000024
XV000038,phl,áa deés se dhueé bhe páanda pharé bíin de.,a\tdeés\tse\tdhueé\tbhe\t-í\tpand\t-a\tpharé\tbe\t-en\tde,one\tday\tREM\tboth\tbecome\t-CV\tpath\t-OBL\talong\tgo\t-3PL\tPST,One day they were both walking along the path.,,,A:UXW018,,SN000024 ; SN000426 ; SN001846
XV000039,phl,thée ba áaka thíilu the ba dúya thíilu hínu.,thée\tba\tak\t-a\tthe\t-íl\t-u\tthe\t-í\tba\tdúi\t-a\tthe\t-íl\t-u\thin\t-u,then\tTOP\tone\t-OBL\tdo\t-PFV\t-MSG\tdo\t-CV\tTOP\tother\t-OBL\tdo\t-PFV\t-MSG\tbe.PRS\t-MSG,Then one after the other did it.,,,A:BHB058a,,SN000024 ; SN000762
XV000040,phl,"áak ta buc̣há máara de, áak ba tasíi ṣiṣo~í paraaṭeé buláaḍa de.",ak\tta\tbuc̣h\t-a\tmar\t-e\tde\tak\tba\ttasíi\tṣiṣo~í\tparaaṭoó\t-í\tbuláḍ\t-e\tde,one\tDS\thunger\t-OBL\tdie\t-3SG\tPST\tone\tTOP\t3SG.GEN\thead.end\tfried.bread\t-PL\tsearch.for\t-3SG\tPST,"One person was dying from hunger, while another was searching for bread at the head end of his bed. [Proverb]",,,A:NH12:1:174,,SN000024 ; SN000454 ; SN001793 ; SN002222 ; SN002241
XV000041,phl,muṣṭóoi zamaanáii áak baačaá heensílu de.,muṣṭóoi\tzamaaná\t-ii\tak\tbaačaá\tháans\t-íl\t-u\tde,of.past\ttime\t-GEN\tIDEF\tking\texist\t-PFV\t-MSG\tPST,"Once a long time ago, there was a king.",,,A:ABO001,,SN000025 ; SN001593 ; SN002562
XV000042,phl,široó thíilu ta tíi maǰí áa ǰhaṭílu ṭhaaṭáaku yhóolu.,široó\tthe\t-íl\t-u\tta\ttíi\tmaǰí\ta\tǰhaṭíl\t-u\tṭhaaṭáku\tyhéi\t-íl\t-u,starting\tdo\t-PFV\t-MSG\tDS\t3SG.OBL\tin\tIDEF\thairy\t-MSG\togre\tcome\t-PFV\t-MSG,"While starting [to eat], a hairy monster suddenly appeared.",,,A:THA005,,SN000025
XV000043,phl,áa ǰandoó ghiní ghireé tas the beeṇḍeéu bháanu.,a\tǰandoó\tghin\t-í\tghireé\ttas\tthe\tbe\t-eeṇḍeéu\tbhe\t-án\t-u,IDEF\tgoat\ttake\t-CV\tagain\t3SG.ACC\tto\tgo\t-OBLG\tbecome\t-PRS\t-MSG,"He should go and visit him then, and take a goat with him.",,,A:MAR050,,SN000025
XV000044,phl,táai deé ghareé pakaár balikhaṭíi dapáara áak thiáaḍa inč bhíta.,táai\tdeé\tghareé\tpakaár\tbalikháṭ\t-ii\tdapáara\tak\tthiáḍ\t-a\tinč\tbhit\t-a,that\tfor\tagain\tof.use\troof.end\t-GEN\tfor\tone\tand.half\t-MPL\tinch\tplank\t-PL,For the end of the roof we need one and a half inch of plank.,,,A:HOW081,,SN000026 ; SN000265 ; SN000655 ; SN001017 ; SN002314
XV000045,phl,tus aakáak looṛíia aṭóoi.,tus\táak\t=áak\tlooṛíi\t-a\taṭé\t-ooi,2PL.NOM\tone\tone\tbowl\t-PL\tbring\t-IMP.PL,Go and get a bowl each!,,,A:KAT125,,SN000027 ; SN000197 ; SN002371
XV000046,phl,"kaaṭarghaáwee aakatí kasaán nikháata, giḍá dúšii thíi.",kaaṭarghaá\t=wée\taakatí\tkasaán\tnikhát\t-a\tgiḍ\t-a\tdúši\t-ii\tthíi,<place>\tin\tsome\tpersons\tcome.out.PFV\t-MPL\t<place>\t-OBL\ttoward\t-GEN\tfrom,"A few people appeared in Katergha, [coming] from the direction of the Damel Valley.",,,A:JAN043,,SN000029 ; SN000774 ; SN001184 ; SN002318
XV000047,phl,aalmaarí wée ba páanǰ paawá ḍhíngar bhit bhakúlu lagaiǰílu heentá eesó bíiḍu šóo bháanu.,aalmaarí\twée\tba\tpanǰ\tpaáu\t-a\tḍhíngar\tbhit\tbhakúl\t-u\tlagaiǰíl\t-u\theentá\teesó\tbíiḍ\t-u\tšu\t-u\tbhe\t-án\t-u,cupboard\tinto\tTOP\tfive\tquarter\t-PL\twood\tplank\tfat\t-MSG\tbe.put.in.PFV\t-MSG\tCONDL\t3MSG.REM.NOM\tmuch\t-MSG\tgood\t-MSG\tbecome\t-PRS\t-MSG,"If five quarter thick wooden planks are put in this cupboard, it will look very good.",,,A:HOW051,,SN000030 ; SN000325 ; SN001758
XV000048,phl,"aṛé asíi mazhabíi suaál, aṛé ga dúi aám suaál na.",aṛé\tasíi\tmazháb\t-ii\tsuaál\taṛé\tga\tdúi\taám\tsuaál\tna,3FSG.DIST.NOM\t1PL.GEN\treligion\t-GEN\tquestion\t3FSG.DIST.NOM\twhat\tother\tordinary\tquestion\tNEG,"It is a question relating to our religion, not one about any common things.",,,A:BHB065-6,,SN000032 ; SN000857 ; SN001504 ; SN002103
XV000049,phl,ḍaakṭará míi šilaáaṭu dáand aambúr ghiní gaḍílu.,ḍaakṭár\t-a\tmíi\tšilá\t-áṭ\t-u\tdand\taambúr\tghin\t-í\tgaḍé\t-íl\t-u,doctor\t-OBL\t1SG.GEN\thurt\t-AG\t-MSG\ttooth\tforceps\ttake\t-CV\tpull.out\t-PFV\t-MSG,The doctor pulled out my aching tooth with forceps.,,,A:DLX423,,SN000033
XV000050,phl,so šidá teeṇíi háata taapainií dapáara aamburáanu.,so\tšid\t-a\tteeṇíi\that\t-a\ttap\t-ainií\tdapáara\taamburé\t-án\t-u,3MSG.NOM\tcoldness\t-OBL\tREFL\thand\t-PL\twarm.oneself\t-VN\tfor\trub\t-PRS\t-MSG,He is rubbing his hands together to keep warm in the cold.,,,A:DLX424,,SN000034
XV000051,phl,"máathe aambúuṛu píṣṭu heentá, ma aṛó yambaáṭ khilaí ghiní béem.",ma\t=the\taambúuṛu\tpíṣṭ\t-u\theentá\tma\taṛó\tyambáṭ\tkhilaí\tghin\t-í\tbe\t-um,1SG.NOM\tto\tgrain.sack\tgrind.PFV\t-MSG\tCONDL\t1SG.NOM\tDIST.NOM.MSG\tmillstone\talone\ttake\t-CV\tgo\t-1SG,"If someone would grind grain for me, I would carry the mill stone all alone.",,,A:MAH020e,,SN000035 ; SN001247 ; SN001461 ; SN001888 ; SN002543
XV000052,phl,se páaka áaṇc̣a paší íṇc̣a kaṭamúš aamúuṣṭu hínu.,se\tpak\t-a\táaṇc̣u\t-a\tpaš\t-í\tiṇc̣\t-a\tkaṭamúš\taamúuṣṭ\t-u\thin\t-u,REM\tripe\t-MPL\traspberry\t-PL\tsee\t-CV\tbear\t-OBL\t<person>\tforget.PFV\t-MSG\tbe.PRS\t-MSG,"When the bear caught sight of the ripe raspberries, he forgot about Katamosh.",,,A:KAT140,,SN000036 ; SN001738
XV000053,phl,"šoorúṇḍu ḍheerí dháatu heentá, xudaái aamuṣáanu.",šoorúṇḍu\tḍheér\t-í\tdháat\t-u\theentá\txudaái\taamúṣ\t-án\t-u,orphan\tbelly\t-OBL\tbecome.full.PFV\t-MSG\tCONDL\tGod\tforget\t-PRS\t-MSG,"When the orphan has had enough to eat [lit. is full in his belly], he forgets God. [Proverb]",,,A:NH12:1:064,,SN000036 ; SN002180
XV000054,phl,kúṛi ma díi khooǰóolu ki keé ruáanu.,kúṛi\tma\tdíi\tkhooǰá\t-íl\t-u\tki\tkeé\tro\t-án\t-u,wife\t1SG.NOM\tfrom\task\t-PFV\t-MSG\tCOMP\twhy\tweep\t-PRS\t-MSG,"My wife asked me, ""Why are you crying?""",,,A:HUA101,,SN000038 ; SN001205 ; SN001274
XV000055,phl,nis the koó ṭing na bháana.,nis\tthe\tkoó\tṭing\tna\tbhe\t-án\t-a,3SG.PROX.ACC\tto\twho\tfirm\tNEG\tbecome\t-PRS\t-MPL,Nobody can stand up against him.,,,A:JAN062,,SN000038 ; SN001293 ; SN001681 ; SN002398
XV000056,phl,"muṣṭú ma thíi ráat piláanu, thée ba ma thíi lhéṇḍi kakaríi čapáanu.",muṣṭú\tma\tthíi\trat\tpil\t-án\t-u\tthée\tba\tma\tthíi\tlhéṇḍ\t-i\tkakaríi\tčapé\t-án\t-u,first\t1SG.NOM\t2SG.GEN\tblood\tdrink\t-PRS\t-MSG\tthen\tTOP\t1SG.NOM\t2SG.GEN\tbald\t-F\tskull\tgnaw\t-PRS\t-MSG,"First I will drink your blood, and then I will gnaw on your bald scalp.",,,A:KAT032,,SN000038 ; SN000513 ; SN001154 ; SN001595 ; SN002317
XV000057,phl,eetí čúkri ki tandée pharé dhuumíi gaḍéeni.,eetí\tčukr\t-i\tki\ttandái\t-a\tpharé\tdhuumíi\tgaḍé\t-án\t-i,that\tsour\t-F\tCOMP\tcrown.of.head\t-OBL\tthrough\tsmoke\ttake.off\t-PRS\t-F,It is so sour that it is as if smoke were coming out of your head. A:HUA067,,,A:KEE062,,SN000038
XV000058,phl,eetáai aawaáz yháandu.,eetáai\taawaáz\tyhéi\t-ánd\t-u,from.there.REM\tsound\tcome\t-PRS\t-MSG,A sound is coming from there.,,,A:HUA067,,SN000038 ; SN000869 ; SN002549
XV000059,phl,gaáṛimii kaarxaaneémii dhuumíia bíiḍi nikhéendim.,gaáṛi\t-m\t-ii\tkaarxaaná\t-íim\t-ii\tdhuumíi\t-a\tbíiḍ\t-i\tnikhéi\t-ánd\t-im,vehicle\t-PL\t-GEN\tfactory\t-PL.OBL\t-GEN\tsmoke\t-PL\tmuch\t-F\tcome.out\t-PRS\t-FPL,There are great deal of fumes coming from cars and factories.,,,A:DLX002,,SN000038 ; SN001151
XV000060,phl,asíi dúu oostaazaán hína.,asíi\tdu\toostaáz\t-aán\thin\t-a,1PL.GEN\ttwo\tteacher\t-PL\tbe.PRS\t-MPL,We have two teachers.,,,A:OUR009,,SN000039
XV000061,phl,áa piraanóom maǰí piraán haansáana.,a\tpiír\t-aán\t-am\tmaǰí\tpiír\t-aán\tháans\t-án\t-a,IDEF\tsaint\t-PL\t-PL.OBL\tamong\tsaint\t-PL\texist\t-PRS\t-MPL,There are pirs among pirs.,,,A:PIR001,,SN000039 ; SN001886
XV000062,phl,ma tasíi aandáara ǰhaanáanu.,ma\ttasíi\taandáaru\t-a\tǰháan\t-án\t-u,1SG.NOM\t3SG.GEN\tintestine\t-PL\tknow\t-PRS\t-MSG,I know him very well [lit. I know his intestines]. [Proverb],,,A:NH12:1:012,,SN000041
XV000063,phl,"kareé čáar baḍíli heentá, so áangu ghiní čáar lunáanu.",kareé\tčar\tbaḍ\t-íl\t-i\theentá\tso\táangu\tghin\t-í\tčar\tlun\t-án\t-u,when\tgrass\tgrow.up\t-PFV\t-F\tCONDL\t3MSG.NOM\tsickle\ttake\t-CV\tgrass\tcut.off\t-PRS\t-MSG,"Whenever the grass has grown tall, he takes a sickle and cuts it.",,,A:DLX003,,SN000042
XV000064,phl,"guǰúr katí bi c̣húuṇc̣u heentá, áangii phúṭi sam ba kúulu.",guǰúr\tkatí\tbi\tc̣húuṇc̣\t-u\theentá\táangu\t-ii\tphúṭi\tsam\tba\tkúul\t-u,Gujar\thow.much\tSEP\tstraight\t-MSG\tCONDL\tsickle\t-GEN\tend\tequally\tTOP\tbent\t-MSG,"No matter how straight the Gujar is, he is equally bent like the blade of the sickle. [Proverb]",,,A:NH12:1:182,,SN000042 ; SN000606 ; SN000999 ; SN001196 ; SN001876 ; SN002040
XV000065,phl,aṛé áaṇc̣a kateeṇá páaka hínee.,aṛé\táaṇc̣u\t-a\tkateeṇ\t-a\tpak\t-a\thin\t-a\t=ee,DIST\traspberry\t-PL\twhat.kind\t-MPL\tripe\t-MPL\tbe.PRS\t-MPL\tQ,Haven't those raspberries ripened nicely.,,,A:KAT131,,SN000043 ; SN000856 ; SN001193
XV000066,phl,máathe aaraám zarurát.,ma\t=the\taaraám\tzarurát,1SG.NOM\tto\tease\tnecessity,I need rest.,,,A:DLX004,,SN000044 ; SN001461
XV000067,phl,"níindram maǰí hínu, aaraám ki.",níindram\tmaǰí\thin\t-u\taaraám\tki,sleep.OBL\tin\tbe.PRS\t-MSG\tease\tas,"He is asleep, resting.",,,A:DRA010,,SN000045 ; SN001474 ; SN001660
XV000068,phl,so aaraám ki yhóolu.,so\taaraám\tki\tyhéi\t-íl\t-u,3MSG.NOM\tease\tat\tcome\t-PFV\t-MSG,"He came, being at ease.",,,A:DLX351,,SN000045
XV000069,phl,míi aaraám thíili.,míi\taaraám\tthe\t-íl\t-i,1SG.ERG\tease\tdo\t-PFV\t-F,I rested.,,,A:DLX209,,SN000046 ; SN001536
XV000070,phl,tas the aarzaán dítu.,tas\tthe\taarzaán\tdit\t-u,3SG.ACC\tto\tcheap\tgive.PFV\t-MSG,He got a good discount.,,,A:Q9.1029,,SN000051
XV000071,phl,aǰíi aaṣaṛí aṭáana.,aǰé\t-ii\taaṣáṛ\t-í\taṭé\t-án\t-a,up\t-GEN\tapricot\t-PL\tbring\t-PRS\t-MPL,These apricots are from up-country (i.e. from an upstream location).,,,B:DHN2253,,SN000055
XV000072,phl,tíi meelmastiaá ki sáat áaṣṭ gúua amzayíla.,tíi\tmeelmastiaá\tki\tsat\táaṣṭ\tgúu\t-a\tamzayé\t-íl\t-a,3SG.OBL\thospitality\tat\tseven\teight\tbull\t-PL\tsend\t-PFV\t-MPL,He sent seven or eight bulls to them in a gesture of hospitality.,,,A:MAB122-3,,SN000060 ; SN000129 ; SN001511 ; SN002020 ; SN002698
